"ean","order_id_falta","cantidad_solicitada_falta","point_of_sale_id","nombre_pos","tipo_producto","fecha_pedido_falta","reintento_reposicion","order_id_recompra","fecha_pedido_recompra","dias_hasta_recompra","horas_hasta_recompra","bucket_timing_recompra","cantidad_recompra","compra_efectiva","veces_falta_antes"
"0000000000114",397325,10,501,Sucursal 39,MEDICINAL,"2026-01-02 13:43:04",1,397940,"2026-01-03 16:01:51",1,26,"24-48 h",10.000,0,1
"0000000000114",397940,10,501,Sucursal 39,MEDICINAL,"2026-01-03 16:01:51",1,399145,"2026-01-06 16:58:03",3,72,"48 h+",10.000,0,2
"0000000000114",399145,10,501,Sucursal 39,MEDICINAL,"2026-01-06 16:58:03",1,399708,"2026-01-07 15:36:37",1,22,"12-24 h",10.000,0,3
"0000000000114",399708,10,501,Sucursal 39,MEDICINAL,"2026-01-07 15:36:37",1,400366,"2026-01-08 15:57:05",1,24,"24-48 h",10.000,0,4
"0000000000122",397325,10,501,Sucursal 39,MEDICINAL,"2026-01-02 13:43:04",1,397940,"2026-01-03 16:01:51",1,26,"24-48 h",20.000,0,1
"0000000000122",397940,20,501,Sucursal 39,MEDICINAL,"2026-01-03 16:01:51",1,399145,"2026-01-06 16:58:03",3,72,"48 h+",20.000,0,2
"0000000000122",399145,20,501,Sucursal 39,MEDICINAL,"2026-01-06 16:58:03",1,399708,"2026-01-07 15:36:37",1,22,"12-24 h",20.000,0,3
"0000000000122",399708,20,501,Sucursal 39,MEDICINAL,"2026-01-07 15:36:37",1,400366,"2026-01-08 15:57:05",1,24,"24-48 h",20.000,0,4
"0000000000888",399494,3,1182,Farmacia Drdi,MEDICINAL,"2026-01-07 01:27:23",1,401878,"2026-01-12 01:54:22",5,120,"48 h+",3.000,1,1
"0000000001626",397642,2,883,Farmacia Sur - Mendeleiv,MEDICINAL,"2026-01-02 22:53:27",0,,,,,,,,1
"0000000002624",397700,28,385,Valemar,MEDICINAL,"2026-01-03 00:11:22",0,,,,,,,,1
"0000000004606",397700,2,385,Valemar,MEDICINAL,"2026-01-03 00:11:22",0,,,,,,,,1
"0000000007115",397423,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 15:28:37",1,397628,"2026-01-02 22:40:57",0,7,"6-12 h",1.000,0,1
"0000000007115",397628,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 22:40:57",1,397926,"2026-01-03 15:38:11",1,16,"12-24 h",1.000,0,2
"0000000007115",397926,1,2287,Santa Isabel,MEDICINAL,"2026-01-03 15:38:11",1,398464,"2026-01-05 15:37:24",2,47,"24-48 h",1.000,0,3
"0000000007115",398464,1,2287,Santa Isabel,MEDICINAL,"2026-01-05 15:37:24",1,398769,"2026-01-05 22:45:37",0,7,"6-12 h",1.000,0,4
